title,url,label_property,code,company,article
高盛：上调希慎兴业(00014)目标价至43.7元 评级升至“中性”,https://news.10jqka.com.cn/m604109727/,利好,HK0014,希慎兴业,<p>该行称，香港零售市场增长主要受惠于有利的外汇因素、中国消费情绪反弹及本地消费增长。该行认为，零售物业占资产净值41%的希慎兴业将能受惠。</p><p>此外，该行表示，利园三期办公室投入使用及租户于今年开始搬入也为公司收入带来贡献。</p><p>行情来源：老虎证券 　</p>
瑞信：维持希慎兴业（00014.HK）“优于大市” 惟升目标价,https://news.10jqka.com.cn/m603217694/,利好,HK0014,希慎兴业,"<p>格隆汇2日讯，瑞信集团发表报告，维持<a data-code=""HK0014"" data-marketid=""177"" data-position=""stock.2"" href=""#*f:HK0014:sc*#"">希慎兴业</a>(00014.HK)""优于大市""评级，目标价则由47.1上升11%至52.3港元。瑞信表示，希慎兴业扣除一次性赔偿收入后的核心盈利按年下跌1%至23.49亿港元，主要受按年下跌4%的零售租金盈利及利园三期费用增加影响。该行续指，去年零售续租租金负增长符合管理层预期，但强劲的零售销售表现及较健康的出租成本令公司有上调租金的空间，因此将公司零售租金增长预测由按年0-2%上调至4-6%。该券商认为，写字楼租金增长稳定，利园三期完工后将提升公司租金收入，预期三期将于2019及2020年可分别带来3.09亿及3.38亿港元租金收入。瑞信将希慎2018年及2019年的每股盈利预测分别下调3%及上调2.9%，希慎兴业(00014.HK)现报43.35港元，跌幅0.8%，暂成交3064.39万港元，最新总市值453.37亿港元。</p>"
麦格理：上调希慎兴业(00014)目标价至52.25元,https://news.10jqka.com.cn/m603211467/,利好,HK0014,希慎兴业,<p>麦格理表示，希慎股价早前达历史新高，2017年基本利润和每股盈利表现亦然。麦格理估计希慎2017年租户销售额将略高于2014年顶峰值的3%。该行称如2017下半年的强劲复苏延续至2018年，希慎的租户销售额应能在2018年上半年再创新高。</p><p>“媒体报导称，主要零售商和商场管理者均表示，农历新年的客流量取得双位数增长，故预计2018年希慎零售销售额同样实现双位数增长”，麦格理称。认为消息有助进一步加强投资者的信心并使该股获得重估。</p><p>该行对希慎2018年度纯利预测为70.86亿元，基本盈利预测24.19亿元。</p>
希慎兴业(00014.HK)年度纯利增近2倍 唯股价下跌近4%,https://news.10jqka.com.cn/m603193085/,利空,HK0014,希慎兴业,
大和：上调希慎兴业(00014)目标价至52.7元,https://news.10jqka.com.cn/m603190866/,利好,HK0014,希慎兴业,<p>大和表示，希慎2017年业绩的基本溢利同比上升5.1%至24.91亿元，因为办公室租金收入同比増长5.2%所致。大和认为，随利园3期落成，其租户的零售物业销售情况在2017下半年明显好转，相信希慎未来几年盈利前景仍然良好。</p>
瑞信：希慎(00014)基本溢利略高于市场预期 予“跑赢大市”评级,https://news.10jqka.com.cn/m603164722/,利好,HK0014,希慎兴业,<p>该行表示，希慎旗下写字楼业务组合的营业额占总体收入44%，相关营业额13.59亿元(同比上升5.2%)，并称写字楼增长抵销了集团旗下零售业务收入放缓的影响，而集团去年零售商铺业务组合的营业额同比下跌2%至19.25亿元。</p><p>瑞信称，希慎兴业每股末期息派1.11元(同比上升2%)，连同中期息后，其去年全年每股派息1.37元(同比上升2%)，相当于基本派息比率57.5%(对比2016年为59.7%)。该行予希慎“跑赢大市”评级及目标价47.1元。</p>
希慎兴业(00014)2017年净利同比增长1.98倍至36.36亿元 基本净利增5.1%,https://news.10jqka.com.cn/m603159618/,利好,HK0014,希慎兴业,<p>对于净利增长，公告称，反映集团投资物业估值公平值收益8.53亿元。而基本净利(不包括投资物业公平值的未变现变动)增加5.1%，主要反映年内来自一名商铺租户的一次性赔偿1.42亿元。</p><p>此外，经常性基本净利(从基本净利中扣除非经常性项目)，轻微下滑0.8%至23.49亿元，反映营业额随市况轻微上升，以及利园三期落成后的开支增加。</p><p>于2017年年底，集团的商铺业务组合的出租率为97%，写字楼业务组合的出租率为96%，住宅业务组合则为75%;净债务与股东权益比率为5.0%，上年同期为5.4%。主要反映集团于2017年偿还债务。</p>
希慎兴业(00014.HK)年度纯利大涨198.52%至36.36亿港元,https://news.10jqka.com.cn/m603159615/,中性,HK0014,希慎兴业,<p>集团2017年的公布溢利为36.36亿港元(2016年：12.18亿港元)，反映集团投资物业估值公平值收益8.53亿港元(2016年：公平值亏损11.87亿港元)。</p><p>于2017年12月31日，集团商铺业务组合的出租率为97%，写字楼业务组合为96%，而住宅业务组合则为75%。</p>
希慎(00014-HK)﹕年初一至七商场人流录双位数增长,https://news.10jqka.com.cn/m603088345/,利好,HK0014,希慎兴业,<p>希慎(00014-HK)商舖业务总监蔡雯慧指出，在年初一至七，公司旗下商场人流录得双位数增长，该公司首席营运总监吕干威则表示对整体零售市道感到乐观。他又透露旗下商场续租情况正面，而利园三期办公室出租情况亦属理想。 　(责任编辑：finet)</p>
盈信控股委任蒙灿为独立非执行董事,https://news.10jqka.com.cn/m611182793/,中性,HK0015,盈信控股,
