微盟：估值合理 对发售很有信心,https://news.10jqka.com.cn/m609023264/,1546507725,新闻,中性,"50029513_微盟,50007514_港股",HK1806,汇付天下,--
金融科技引领产业创新变革  汇付天下打造合作共赢新生态,https://news.10jqka.com.cn/m609008438/,1546480221,新闻,中性,"50005350_金融科技,50011177_第三方支付",HK1806,汇付天下,--
支付新生态 汇付天下立足新定位持续发力,https://news.10jqka.com.cn/m608869069/,1545699485,新闻,中性,"50019684_新零售,50005116_零售业",HK1806,汇付天下,--
汇付天下股价创历史新低累计跌60% 再回购114.4万股,https://news.10jqka.com.cn/m608838100/,1545392154,新闻,利空,"50000643_股份回购,50010209_股价创历史新低",HK1806,汇付天下,--
汇付天下12月21日回购10.00万股 耗资28.92万港币,https://news.10jqka.com.cn/m608836724/,1545390261,新闻,,"50000643_股份回购,50000306_股份变动",HK1806,汇付天下,--
经历了疯狂的2018后 香港IPO市场明年可能消停一下了,https://news.10jqka.com.cn/m608825976/,1545373946,新闻,中性,"50007418_IPO,50005662_香港",HK1806,汇付天下,--
为汇付天下捏一把汗 风控问题似乎是一块“心病”,https://news.10jqka.com.cn/m608824683/,1545368957,新闻,利空,"50008115_风险控制,50011177_第三方支付",HK1806,汇付天下,--
港股开盘前瞻：市场忧虑经济前景 港股或继续向下,https://news.10jqka.com.cn/m608819177/,1545353386,新闻,中性,"50007514_港股,50006105_暴跌",HK1806,汇付天下,--
汇付天下12月20日回购114.40万股 耗资298.83万港币,https://news.10jqka.com.cn/m608817301/,1545319175,新闻,,"50000643_股份回购,50000306_股份变动",HK1806,汇付天下,--
香港恒指收跌0.9% 汇丰、渣打、中银香港均跌超1%,https://news.10jqka.com.cn/m608807319/,1545293524,新闻,热门,"50007824_恒生指数,50021555_中银香港",HK1806,汇付天下,--
港股新股破发率高达8成 新股今日再度集体大跌,https://news.10jqka.com.cn/m608806989/,1545290974,新闻,利空,"50000751_新股,50000109_破发股",HK1806,汇付天下,--
2018支付变局：已有6家银行“断直连”,https://news.10jqka.com.cn/m608749711/,1545093063,新闻,中性,"50010245_客户备付金,50004233_中信银行",HK1806,汇付天下,--
第三方支付竞争走向下半场 汇付天下构建多方共赢新生态,https://news.10jqka.com.cn/m608749562/,1545092086,新闻,中性,"50011177_第三方支付,50009730_供应商",HK1806,汇付天下,--
汇付天下穆海洁：发展聚合业务 为SaaS服务商赋能,https://news.10jqka.com.cn/m608697248/,1544698051,新闻,中性,"50009481_SaaS产业,50007634_金融信贷",HK1806,汇付天下,--
支付新生态 汇付天下立足新定位持续发力,https://news.10jqka.com.cn/m608685787/,1544675818,新闻,中性,"50019684_新零售,50005116_零售业",HK1806,汇付天下,--
聚合支付成“香饽饽” 罗来峰详解翼支付如何“借船出海”,https://news.10jqka.com.cn/m608666646/,1544603244,新闻,中性,"50011177_第三方支付,50000437_电子商务",HK1806,汇付天下,--
汇付天下总裁穆海洁：新零售生态下的聚合蓝海,https://news.10jqka.com.cn/m608498411/,1543833698,新闻,中性,"50019684_新零售,50011177_第三方支付",HK1806,汇付天下,--
汇商旅“人工智能+金融服务”为TMC产业变革“减负”,https://news.10jqka.com.cn/m608461401/,1543555570,新闻,中性,"50000369_人工智能,50015284_金融服务",HK1806,汇付天下,--
企展获仁天科技增持768.4万股,https://news.10jqka.com.cn/m610814241/,1555046944,新闻,利好,,HK1808,企展控股,信息化服务
仁天科技购入企展约1.46%股份,https://news.10jqka.com.cn/m610717444/,1554772187,新闻,利好,"50019057_股权收购,50000445_资产收购",HK1808,企展控股,信息化服务
企展获仁天科技增持336万股,https://news.10jqka.com.cn/m610651718/,1554290183,新闻,中性,,HK1808,企展控股,信息化服务
谢启钊获任企展控股公司秘书,https://news.10jqka.com.cn/m610633026/,1554212323,新闻,中性,,HK1808,企展控股,信息化服务
企展控股延长收购太平证券(香港)50%股权的期限,https://news.10jqka.com.cn/m610580638/,1553864500,新闻,中性,"50000445_资产收购,50005662_香港",HK1808,企展控股,信息化服务
企展控股股东年度应占亏损同比减少74.05%至2500.1万元,https://news.10jqka.com.cn/m610580182/,1553861321,新闻,利空,50006837_毛利率,HK1808,企展控股,信息化服务
企展控股料2018年度净亏损缩窄,https://news.10jqka.com.cn/m610231908/,1552475169,新闻,利空,"50000262_业绩预亏损,50007907_业绩亏损",HK1808,企展控股,信息化服务
企展被SinoWealthyLimited减持300万股,https://news.10jqka.com.cn/m607978548/,1541477431,新闻,利空,,HK1808,企展控股,信息化服务
企展控股终止收购浩丰证券股份,https://news.10jqka.com.cn/m607921101/,1541077694,新闻,利空,"50000445_资产收购,50019057_股权收购",HK1808,企展控股,信息化服务
企展控股：2018年中报净利-1211.00万   同比减亏,https://news.10jqka.com.cn/m607260618/,1537520518,新闻,,"50000426_半年报,50005450_净利润",HK1808,企展控股,信息化服务
企展控股中期亏损收窄86.5%至832.1万元,https://news.10jqka.com.cn/m606852872/,1535549099,新闻,,,HK1808,企展控股,信息化服务
企展控股预期中期亏损将显著减少,https://news.10jqka.com.cn/m606172204/,1533288301,新闻,利空,50000262_业绩预亏,HK1808,企展控股,信息化服务
企展控股预期上半年股东亏损同比显著收窄,https://news.10jqka.com.cn/m606172291/,1533287983,新闻,利空,50000262_业绩预亏,HK1808,企展控股,信息化服务
范嘉琳辞任企展控股(01808)执行董事,https://news.10jqka.com.cn/m605328305/,1530091015,新闻,,,HK1808,企展控股,信息化服务
范嘉琳辞任企展控股(01808.HK)执行董事,https://news.10jqka.com.cn/m605328155/,1530090893,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808)年度股东应占亏损收窄68.17%至1.02亿港元,https://news.10jqka.com.cn/m603637486/,1522192665,新闻,利空,,HK1808,企展控股,信息化服务
仁天科技跌约1% 附属企展控股料去年亏损显著减少,https://news.10jqka.com.cn/m603539036/,1521697764,新闻,利空,,HK1808,企展控股,信息化服务
企展控股(01808)预期2017年度净亏损显著减少,https://news.10jqka.com.cn/m603529380/,1521645204,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808.HK)延迟寄发收购太平证券股本通函至2月2日或之前,https://news.10jqka.com.cn/m602458530/,1515757372,新闻,中性,,HK1808,企展控股,信息化服务
企展(01808-HK)获嘉年华国际(00996-HK)主席景百孚增持200万股,https://news.10jqka.com.cn/m602160988/,1513926863,新闻,利好,,HK1808,企展控股,信息化服务
港股异动︱企展控股(01808)涨9% 获主要股东连续增持,https://news.10jqka.com.cn/m601743472/,1511505294,新闻,利好,,HK1808,企展控股,信息化服务
港股异动︱企展(01808)涨7% 引入中国太平消息继续发酵,https://news.10jqka.com.cn/m601650576/,1511161493,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808)延长收购浩丰证券截止日期,https://news.10jqka.com.cn/m601613298/,1510840457,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808)拟2.29亿元向中国太平(00966)收购证券业务50%权益 中国太平成主要股东,https://news.10jqka.com.cn/m601570579/,1510703002,新闻,,,HK1808,企展控股,信息化服务
仁天科技控股(00885)旗下企展控股(01808)2.29亿元收购证券业务50%权益,https://news.10jqka.com.cn/m601570569/,1510702800,新闻,利好,,HK1808,企展控股,信息化服务
企展控股(01808.HK)中期减亏52.31%至6167.5万元,https://news.10jqka.com.cn/m600039276/,1503838453,新闻,利好,,HK1808,企展控股,信息化服务
企展控股(01808)上半年亏损6167.5万元,https://news.10jqka.com.cn/m600037428/,1503835165,新闻,利空,,HK1808,企展控股,信息化服务
企展控股(01808.HK)料中期净亏显著收窄,https://news.10jqka.com.cn/m599702659/,1502965406,新闻,利空,,HK1808,企展控股,信息化服务
格隆汇财经早餐（8月4日）,https://news.10jqka.com.cn/m599427359/,1501803813,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808)获控股股东质押约2.04亿股股份予保险集团财务公司,https://news.10jqka.com.cn/m599426308/,1501769298,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808.HK)控股股东质押约2亿股份,https://news.10jqka.com.cn/m599426109/,1501767027,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808-HK)上市金融资产投资未变现亏损3400万港元,https://news.10jqka.com.cn/m599103028/,1499164974,新闻,利空,,HK1808,企展控股,信息化服务
企展(01808-HK)逆市升16%  成交未配合,https://news.10jqka.com.cn/m598938610/,1498026179,新闻,中性,,HK1808,企展控股,信息化服务
仁天科技控股增持企展控股1亿股 耗资1亿港币,https://news.10jqka.com.cn/m598539723/,1494511062,新闻,,,HK1808,企展控股,信息化服务
五一黄金周香港全购股热炒企展控股 两日升五成,https://news.10jqka.com.cn/m598402464/,1493701399,新闻,,,HK1808,企展控股,信息化服务
港股复盘：银行强势表现带动其他热点 恒指收涨1.31%,https://news.10jqka.com.cn/m598153097/,1493117869,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808-HK)：要约人持股约52.07% 要约成为无条件,https://news.10jqka.com.cn/m597669928/,1492004942,新闻,,,HK1808,企展控股,信息化服务
景百孚增持企展控股219万股 耗资219万港币,https://news.10jqka.com.cn/m597666681/,1491997007,新闻,,,HK1808,企展控股,信息化服务
景百孚增持企展控股163万股 耗资163万港币,https://news.10jqka.com.cn/m597539871/,1491651429,新闻,,,HK1808,企展控股,信息化服务
仁天科技控股增持企展控股383万股 耗资383万港币,https://news.10jqka.com.cn/m597539638/,1491651031,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808-HK)延发收购文件,https://news.10jqka.com.cn/m596726330/,1488796746,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808-HK)申请延迟寄发要约综合文件,https://news.10jqka.com.cn/m596726315/,1488796530,新闻,,,HK1808,企展控股,信息化服务
仁天科技控股(00885-HK)拟要约收购企展控股(01808-HK)100%股本,https://news.10jqka.com.cn/m596419550/,1486996419,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808)2月10日停牌 待根据收购及合并守则刊发公告,https://news.10jqka.com.cn/m596374268/,1486691004,新闻,,,HK1808,企展控股,信息化服务
企展控股(01808-HK)拟收购证劵经纪业务 涉足金融业务,https://news.10jqka.com.cn/m595941854/,1483707288,新闻,利好,,HK1808,企展控股,信息化服务
汪俊辞任企展控股(01808)执行董事,https://news.10jqka.com.cn/m594955617/,1478877890,新闻,,,HK1808,企展控股,信息化服务
企展控股一供三筹1.99亿,https://news.10jqka.com.cn/m592424920/,1471116663,新闻,,,HK1808,企展控股,信息化服务
企展购内地卡拉OK系统服务业务,https://news.10jqka.com.cn/m590099741/,1462841624,新闻,中性,,HK1808,企展控股,信息化服务
企展控股附属收购宝添国际28%权益,https://news.10jqka.com.cn/m590092288/,1462802423,新闻,,,HK1808,企展控股,信息化服务
精要控股减持企展控股400万股 套现39万港币,https://news.10jqka.com.cn/m587175581/,1452520047,新闻,利空,,HK1808,企展控股,信息化服务
浦林成山委任MoFo为法律程序代理人,https://news.10jqka.com.cn/m610834069/,1555070328,新闻,中性,,HK1809,浦林成山,--
曹雪玉获任浦林成山联席公司秘书,https://news.10jqka.com.cn/m610575333/,1553855726,新闻,中性,,HK1809,浦林成山,--
轮胎业迎“大翻盘” 浦林成山上市首年狂赚4.78亿,https://news.10jqka.com.cn/m609946269/,1551244683,新闻,中性,"50006429_轮胎,50005110_化工合成材料",HK1809,浦林成山,--
浦林成山：降低在美份额 加快全球布局规避贸易风险,https://news.10jqka.com.cn/m609889841/,1551084143,新闻,中性,,HK1809,浦林成山,--
浦林成山2018年度纯利按年升175.54%每股派息0.238港元,https://news.10jqka.com.cn/m609882147/,1551071905,新闻,中性,50000276_分红派息,HK1809,浦林成山,--
浦林成山2018年股东应占利润同比增长1.75倍至4.78亿元,https://news.10jqka.com.cn/m609881575/,1551070766,新闻,中性,"50006429_轮胎,50005110_化工合成材料",HK1809,浦林成山,--
浦林成山预期2018年净利同比上升超过150%,https://news.10jqka.com.cn/m609333416/,1548028954,新闻,利空,"50006702_业绩上升,50000428_年度报告",HK1809,浦林成山,--
浦林成山：超额配股权失效,https://news.10jqka.com.cn/m607813894/,1540772535,新闻,,50000292_配股,HK1809,浦林成山,--
浦林成山稳定价格结束并无行使超额配股权,https://news.10jqka.com.cn/m607813875/,1540771895,新闻,中性,"50000292_配股,50008035_佣金",HK1809,浦林成山,--
