title,url,label_property,code,company
共享经济集团(01178)获中止卷入一宗民事诉讼,https://news.10jqka.com.cn/m600306241/,中性,HK1178,汇银控股集团
汇彩控股2018年年报出炉 业绩亮眼,https://news.10jqka.com.cn/m610664315/,利好,HK1180,汇彩控股
李慧芬：1.2港元或之下买入汇彩控股目标1.8港元,https://news.10jqka.com.cn/m610554565/,中性,HK1180,汇彩控股
汇彩控股获FILLimited增持565.6万股,https://news.10jqka.com.cn/m608384592/,利好,HK1180,汇彩控股
汇彩控股首9个月总收入为8.36亿港元同比增长10.5%,https://news.10jqka.com.cn/m608100441/,中性,HK1180,汇彩控股
濠赌股跌势未止 新濠国际及美高梅跌近2%创新低,https://news.10jqka.com.cn/m607079772/,利空,HK1180,汇彩控股
汇彩控股中期扭亏为盈 股东应占溢利为2531.3万港元,https://news.10jqka.com.cn/m606724021/,中性,HK1180,汇彩控股
汇彩控股预期2018年中期业绩扭亏为盈,https://news.10jqka.com.cn/m605911903/,利好,HK1180,汇彩控股
汇彩控股预计中期业绩扭亏为盈,https://news.10jqka.com.cn/m605906444/,利好,HK1180,汇彩控股
汇彩控股(01180)首季经调整EBITDA扭亏为盈至5180万港元,https://news.10jqka.com.cn/m604438218/,利好,HK1180,汇彩控股
汇彩控股(01180)年度净亏损同比收窄92%至3069.8万港元,https://news.10jqka.com.cn/m603601769/,利空,HK1180,汇彩控股
汇彩控股(01180.HK)中期净亏收窄90.35%至4022.1万港元,https://news.10jqka.com.cn/m599849497/,利好,HK1180,汇彩控股
汇彩控股(01180-HK)一季度经调EBITDA为亏损1010万港元,https://news.10jqka.com.cn/m598576525/,利空,HK1180,汇彩控股
汇彩控股(01180-HK)年度亏损上升130.3%  不派息,https://news.10jqka.com.cn/m597289559/,利空,HK1180,汇彩控股
汇彩控股(01180)第三季度总收入同比增加38.6%至约3.52亿港元,https://news.10jqka.com.cn/m595030087/,利好,HK1180,汇彩控股
汇彩(01180)首3季经调整EBITDA同比增27%第3季扭亏,https://news.10jqka.com.cn/m595029445/,利好,HK1180,汇彩控股
汇彩控股(01180)三季度总收入同比增加38.6%至约3.52亿港元,https://news.10jqka.com.cn/m594929542/,利好,HK1180,汇彩控股
汇彩控股(01180)澄清GGRAsia网站及刊物对其案件陈述失实,https://news.10jqka.com.cn/m590434778/,利空,HK1180,汇彩控股
汇彩控股 ：向IGT授出海外专利,https://news.10jqka.com.cn/m589717952/,中性,HK1180,汇彩控股
汇彩(01180)授出电子博彩系统专营权料录亏损3.38亿元,https://news.10jqka.com.cn/m589584843/,利空,HK1180,汇彩控股
汇彩控股12月11日回购4万股 耗资4万港币,https://news.10jqka.com.cn/m586449259/,利好,HK1180,汇彩控股
汇彩控股12月10日回购14万股 耗资15万港币,https://news.10jqka.com.cn/m586418165/,利好,HK1180,汇彩控股
汇彩控股12月9日回购11万股 耗资12万港币,https://news.10jqka.com.cn/m586398100/,利好,HK1180,汇彩控股
汇彩控股12月7日回购10万股 耗资10万港币,https://news.10jqka.com.cn/m586354239/,利好,HK1180,汇彩控股
汇彩控股12月4日回购9万股 耗资10万港币,https://news.10jqka.com.cn/m586326314/,利好,HK1180,汇彩控股
汇彩控股11月24日回购19万股 耗资23万港币,https://news.10jqka.com.cn/m586064545/,利好,HK1180,汇彩控股
汇彩控股10月6日回购12万股 耗资15万港币,https://news.10jqka.com.cn/m584869282/,利好,HK1180,汇彩控股
汇彩控股9月1日回购12万股 耗资16万港币,https://news.10jqka.com.cn/m581531963/,利好,HK1180,汇彩控股
汇彩控股7月8日回购41万股 耗资63万港币,https://news.10jqka.com.cn/m574599357/,利好,HK1180,汇彩控股
唐宫中国根据股份奖励计划折让96.4%发行216.5万股,https://news.10jqka.com.cn/m611080344/,中性,HK1181,唐宫中国
唐宫中国授出216.5万股奖励股份,https://news.10jqka.com.cn/m610856062/,中性,HK1181,唐宫中国
